Author_ID
Xpt9ulQAAAAJ
nc7pGUAAAAAJ
Kea0PH8AAAAJ
ljQwt8QAAAAJ
YyQ1XrkAAAAJ
bmYzIqEAAAAJ
7Q8Zk38AAAAJ
k9L6jPYAAAAJ
Qhun52QAAAAJ
XOOtdJsAAAAJ
HI4OwhYAAAAJ
Pn8ouvAAAAAJ
BczL-9YAAAAJ
RvzNZeQAAAAJ
nrmcd_8AAAAJ
ZklRFNMAAAAJ
tuJ3TEcAAAAJ
izg65G0AAAAJ
V7BwwVUAAAAJ
d1rRAL4AAAAJ
DWdw42oAAAAJ
7elo0IwAAAAJ
6kWOu6IAAAAJ
EH2LUukAAAAJ
jB7gVJAAAAAJ
8Dz6dZ0AAAAJ
hgl5WiUAAAAJ
XV9gsdYAAAAJ
5gIH-7oAAAAJ
KRZv0jIAAAAJ
